Trial Number,Event,Time
0,States.CenterReward,1706538553.811691
0,States.TrialStarted,1706538553.811691
0,States.M1CM2C,1706538553.811691
1,States.TrialCompleted,1706538553.811691
1,States.CenterReward,1706538553.811691
1,States.TrialStarted,1706538553.811691
1,States.M1CM2C,1706538553.811691
2,States.TrialCompleted,1706538553.811691
2,States.CenterReward,1706538553.811691
2,States.TrialStarted,1706538553.811691
2,States.M1CM2C,1706538553.811691
3,States.TrialCompleted,1706538553.811691
3,States.CenterReward,1706538553.8166845
3,States.TrialStarted,1706538553.8166845
3,States.M1CM2C,1706538553.8166845
4,States.TrialCompleted,1706538553.8166845
4,States.CenterReward,1706538553.8166845
4,States.TrialStarted,1706538553.8166845
4,States.M1CM2C,1706538553.8166845
5,States.TrialCompleted,1706538553.8166845
5,States.CenterReward,1706538553.8166845
5,States.TrialStarted,1706538553.8166845
5,States.M1CM2C,1706538553.8166845
6,States.TrialCompleted,1706538553.8166845
6,States.CenterReward,1706538553.8166845
6,States.TrialStarted,1706538553.8166845
6,States.M1CM2C,1706538553.8166845
7,States.TrialCompleted,1706538553.8216846
7,States.CenterReward,1706538553.8216846
7,States.TrialStarted,1706538553.8216846
7,States.M1CM2C,1706538553.8216846
8,States.TrialCompleted,1706538553.8216846
8,States.CenterReward,1706538553.8216846
8,States.TrialStarted,1706538553.8216846
8,States.M1CM2C,1706538553.8216846
9,States.TrialCompleted,1706538553.8216846
9,States.CenterReward,1706538553.8216846
9,States.TrialStarted,1706538553.8216846
9,States.M1CM2C,1706538553.8216846
10,States.TrialCompleted,1706538553.8216846
10,States.CenterReward,1706538553.8216846
10,States.TrialStarted,1706538553.8216846
10,States.M1CM2C,1706538553.8266852
11,States.TrialCompleted,1706538553.8266852
11,States.CenterReward,1706538553.8266852
11,States.TrialStarted,1706538553.8266852
11,States.M1CM2C,1706538553.8266852
12,States.TrialCompleted,1706538553.8266852
12,States.CenterReward,1706538553.8266852
12,States.TrialStarted,1706538553.8266852
12,States.M1CM2C,1706538553.8266852
13,States.TrialCompleted,1706538553.8266852
13,States.CenterReward,1706538553.8266852
13,States.TrialStarted,1706538553.8266852
13,States.M1CM2C,1706538553.8266852
14,States.TrialCompleted,1706538553.8266852
14,States.CenterReward,1706538553.8266852
14,States.TrialStarted,1706538553.8266852
14,States.M1CM2C,1706538553.8316846
15,States.TrialCompleted,1706538553.8316846
15,States.CenterReward,1706538553.8316846
15,States.TrialStarted,1706538553.8316846
15,States.M1CM2C,1706538553.8316846
16,States.TrialCompleted,1706538553.8316846
16,States.CenterReward,1706538553.8316846
16,States.TrialStarted,1706538553.8316846
16,States.M1CM2C,1706538553.8316846
17,States.TrialCompleted,1706538553.8316846
17,States.CenterReward,1706538553.8316846
17,States.TrialStarted,1706538553.8316846
17,States.M1CM2C,1706538553.8316846
18,States.TrialCompleted,1706538553.8316846
18,States.CenterReward,1706538553.8316846
18,States.TrialStarted,1706538553.8316846
18,States.M1CM2C,1706538553.8316846
19,States.TrialCompleted,1706538553.8316846
19,States.CenterReward,1706538553.8316846
19,States.TrialStarted,1706538553.8390636
19,States.M1CM2C,1706538553.8390636
20,States.TrialCompleted,1706538553.8390636
20,States.CenterReward,1706538553.8390636
20,States.TrialStarted,1706538553.8390636
20,States.M1CM2C,1706538553.8390636
21,States.TrialCompleted,1706538553.8390636
21,States.CenterReward,1706538553.8390636
21,States.TrialStarted,1706538553.8390636
21,States.M1CM2C,1706538553.8390636
22,States.TrialCompleted,1706538553.8390636
22,States.CenterReward,1706538553.8390636
22,States.TrialStarted,1706538553.8390636
22,States.M1CM2C,1706538553.8390636
23,States.TrialCompleted,1706538553.8390636
23,States.CenterReward,1706538553.8390636
23,States.TrialStarted,1706538553.844064
23,States.M1CM2C,1706538553.844064
24,States.TrialCompleted,1706538553.844064
24,States.CenterReward,1706538553.844064
24,States.TrialStarted,1706538553.844064
24,States.M1CM2C,1706538553.844064
25,States.TrialCompleted,1706538553.844064
25,States.CenterReward,1706538553.844064
25,States.TrialStarted,1706538553.844064
25,States.M1CM2C,1706538553.844064
26,States.TrialCompleted,1706538553.844064
26,States.CenterReward,1706538553.844064
26,States.TrialStarted,1706538553.844064
26,States.M1CM2C,1706538553.844064
27,States.TrialCompleted,1706538553.844064
27,States.CenterReward,1706538553.844064
27,States.TrialStarted,1706538553.844064
27,States.M1CM2C,1706538553.844064
28,States.TrialCompleted,1706538553.8490636
28,States.CenterReward,1706538553.8490636
28,States.TrialStarted,1706538553.8490636
28,States.M1CM2C,1706538553.8490636
29,States.TrialCompleted,1706538553.8490636
29,States.CenterReward,1706538553.8490636
29,States.TrialStarted,1706538553.8490636
29,States.M1CM2C,1706538553.8490636
30,States.TrialCompleted,1706538553.8490636
30,States.CenterReward,1706538553.8490636
30,States.TrialStarted,1706538553.8490636
30,States.M1CM2C,1706538553.8490636
31,States.TrialCompleted,1706538553.8490636
31,States.CenterReward,1706538553.8490636
31,States.TrialStarted,1706538553.8490636
31,States.M1CM2C,1706538553.8490636
32,States.TrialCompleted,1706538553.8490636
32,States.CenterReward,1706538553.8540642
32,States.TrialStarted,1706538553.8540642
32,States.M1CM2C,1706538553.8540642
33,States.TrialCompleted,1706538553.8540642
33,States.CenterReward,1706538553.8540642
33,States.TrialStarted,1706538553.8540642
33,States.M1CM2C,1706538553.8540642
34,States.TrialCompleted,1706538553.8540642
34,States.CenterReward,1706538553.8540642
34,States.TrialStarted,1706538553.8540642
34,States.M1CM2C,1706538553.8540642
35,States.TrialCompleted,1706538553.8540642
35,States.CenterReward,1706538553.8540642
35,States.TrialStarted,1706538553.8540642
35,States.M1CM2C,1706538553.8540642
36,States.TrialCompleted,1706538553.8540642
36,States.CenterReward,1706538553.8590646
36,States.TrialStarted,1706538553.8590646
36,States.M1CM2C,1706538553.8590646
37,States.TrialCompleted,1706538553.8590646
37,States.CenterReward,1706538553.8590646
37,States.TrialStarted,1706538553.8590646
37,States.M1CM2C,1706538553.8590646
38,States.TrialCompleted,1706538553.8590646
38,States.CenterReward,1706538553.8590646
38,States.TrialStarted,1706538553.8590646
