Trial Number,Event,Time
0,States.CenterReward,1706538342.7839026
0,States.TrialStarted,1706538342.7839026
0,States.M1CM2C,1706538342.7839026
1,States.TrialCompleted,1706538342.7839026
1,States.CenterReward,1706538342.7839026
1,States.TrialStarted,1706538342.7839026
1,States.M1CM2C,1706538342.7839026
2,States.TrialCompleted,1706538342.7839026
2,States.CenterReward,1706538342.7839026
2,States.TrialStarted,1706538342.7839026
2,States.M1CM2C,1706538342.7889028
3,States.TrialCompleted,1706538342.7889028
3,States.CenterReward,1706538342.7889028
3,States.TrialStarted,1706538342.7889028
3,States.M1CM2C,1706538342.7940607
4,States.TrialCompleted,1706538342.7940607
4,States.CenterReward,1706538342.7940607
4,States.TrialStarted,1706538342.7940607
4,States.M1CM2C,1706538342.7940607
5,States.TrialCompleted,1706538342.7940607
5,States.CenterReward,1706538342.7940607
5,States.TrialStarted,1706538342.7940607
5,States.M1CM2C,1706538342.7940607
6,States.TrialCompleted,1706538342.7940607
6,States.CenterReward,1706538342.7940607
6,States.TrialStarted,1706538342.7989066
6,States.M1CM2C,1706538342.7989066
7,States.TrialCompleted,1706538342.7989066
7,States.CenterReward,1706538342.7989066
7,States.TrialStarted,1706538342.7989066
7,States.M1CM2C,1706538342.7989066
8,States.TrialCompleted,1706538342.7989066
8,States.CenterReward,1706538342.7989066
8,States.TrialStarted,1706538342.7989066
8,States.M1CM2C,1706538342.7989066
9,States.TrialCompleted,1706538342.7989066
9,States.CenterReward,1706538342.7989066
9,States.TrialStarted,1706538342.7989066
9,States.M1CM2C,1706538342.7989066
10,States.TrialCompleted,1706538342.7989066
10,States.CenterReward,1706538342.7989066
10,States.TrialStarted,1706538342.8039062
10,States.M1CM2C,1706538342.8039062
11,States.TrialCompleted,1706538342.8039062
11,States.CenterReward,1706538342.8039062
11,States.TrialStarted,1706538342.8039062
11,States.M1CM2C,1706538342.8039062
12,States.TrialCompleted,1706538342.8039062
12,States.CenterReward,1706538342.8039062
12,States.TrialStarted,1706538342.8039062
12,States.M1CM2C,1706538342.8039062
13,States.TrialCompleted,1706538342.8039062
13,States.CenterReward,1706538342.8039062
13,States.TrialStarted,1706538342.8039062
13,States.M1CM2C,1706538342.8039062
14,States.TrialCompleted,1706538342.8039062
14,States.CenterReward,1706538342.8039062
14,States.TrialStarted,1706538342.8039062
14,States.M1CM2C,1706538342.8089077
15,States.TrialCompleted,1706538342.8089077
15,States.CenterReward,1706538342.8089077
15,States.TrialStarted,1706538342.8089077
15,States.M1CM2C,1706538342.8089077
16,States.TrialCompleted,1706538342.8089077
16,States.CenterReward,1706538342.8089077
16,States.TrialStarted,1706538342.8089077
16,States.M1CM2C,1706538342.8089077
17,States.TrialCompleted,1706538342.8089077
17,States.CenterReward,1706538342.8089077
17,States.TrialStarted,1706538342.8089077
17,States.M1CM2C,1706538342.8089077
18,States.TrialCompleted,1706538342.8089077
18,States.CenterReward,1706538342.8089077
18,States.TrialStarted,1706538342.8089077
18,States.M1CM2C,1706538342.8089077
19,States.TrialCompleted,1706538342.8139064
19,States.CenterReward,1706538342.8139064
19,States.TrialStarted,1706538342.8139064
19,States.M1CM2C,1706538342.8139064
20,States.TrialCompleted,1706538342.8139064
20,States.CenterReward,1706538342.8139064
20,States.TrialStarted,1706538342.8139064
20,States.M1CM2C,1706538342.8139064
