Trial Number,Event,Time
0,States.CenterReward,1706538267.0051124
0,States.TrialStarted,1706538267.0051124
0,States.M1CM2C,1706538267.010107
1,States.TrialCompleted,1706538267.010107
1,States.CenterReward,1706538267.010107
1,States.TrialStarted,1706538267.010107
1,States.M1CM2C,1706538267.010107
2,States.TrialCompleted,1706538267.010107
2,States.CenterReward,1706538267.010107
2,States.TrialStarted,1706538267.010107
2,States.M1CM2C,1706538267.010107
3,States.TrialCompleted,1706538267.010107
3,States.CenterReward,1706538267.010107
3,States.TrialStarted,1706538267.010107
3,States.M1CM2C,1706538267.010107
4,States.TrialCompleted,1706538267.0151076
4,States.CenterReward,1706538267.0151076
4,States.TrialStarted,1706538267.0151076
4,States.M1CM2C,1706538267.0151076
5,States.TrialCompleted,1706538267.0151076
5,States.CenterReward,1706538267.0151076
5,States.TrialStarted,1706538267.0151076
5,States.M1CM2C,1706538267.0151076
6,States.TrialCompleted,1706538267.0151076
6,States.CenterReward,1706538267.0151076
6,States.TrialStarted,1706538267.0151076
6,States.M1CM2C,1706538267.0151076
7,States.TrialCompleted,1706538267.0151076
7,States.CenterReward,1706538267.0151076
7,States.TrialStarted,1706538267.0151076
7,States.M1CM2C,1706538267.020108
8,States.TrialCompleted,1706538267.020108
8,States.CenterReward,1706538267.020108
8,States.TrialStarted,1706538267.020108
8,States.M1CM2C,1706538267.020108
9,States.TrialCompleted,1706538267.020108
9,States.CenterReward,1706538267.020108
9,States.TrialStarted,1706538267.020108
9,States.M1CM2C,1706538267.020108
10,States.TrialCompleted,1706538267.020108
10,States.CenterReward,1706538267.020108
10,States.TrialStarted,1706538267.020108
10,States.M1CM2C,1706538267.020108
11,States.TrialCompleted,1706538267.020108
11,States.CenterReward,1706538267.020108
11,States.TrialStarted,1706538267.020108
11,States.M1CM2C,1706538267.0251076
12,States.TrialCompleted,1706538267.0251076
12,States.CenterReward,1706538267.0251076
12,States.TrialStarted,1706538267.0251076
12,States.M1CM2C,1706538267.0251076
13,States.TrialCompleted,1706538267.0251076
13,States.CenterReward,1706538267.0251076
13,States.TrialStarted,1706538267.0251076
13,States.M1CM2C,1706538267.0251076
14,States.TrialCompleted,1706538267.0251076
14,States.CenterReward,1706538267.0251076
14,States.TrialStarted,1706538267.0251076
14,States.M1CM2C,1706538267.0251076
15,States.TrialCompleted,1706538267.0251076
15,States.CenterReward,1706538267.0251076
15,States.TrialStarted,1706538267.0251076
15,States.M1CM2C,1706538267.0251076
16,States.TrialCompleted,1706538267.0251076
16,States.CenterReward,1706538267.0251076
16,States.TrialStarted,1706538267.0251076
16,States.M1CM2C,1706538267.031329
17,States.TrialCompleted,1706538267.031329
17,States.CenterReward,1706538267.031329
17,States.TrialStarted,1706538267.031329
17,States.M1CM2C,1706538267.031329
18,States.TrialCompleted,1706538267.031329
18,States.CenterReward,1706538267.031329
18,States.TrialStarted,1706538267.031329
18,States.M1CM2C,1706538267.031329
19,States.TrialCompleted,1706538267.031329
19,States.CenterReward,1706538267.031329
19,States.TrialStarted,1706538267.031329
19,States.M1CM2C,1706538267.031329
20,States.TrialCompleted,1706538267.031329
20,States.CenterReward,1706538267.031329
20,States.TrialStarted,1706538267.031329
20,States.M1CM2C,1706538267.031329
21,States.TrialCompleted,1706538267.031329
21,States.CenterReward,1706538267.036328
21,States.TrialStarted,1706538267.036328
21,States.M1CM2C,1706538267.036328
22,States.TrialCompleted,1706538267.036328
22,States.CenterReward,1706538267.036328
22,States.TrialStarted,1706538267.036328
22,States.M1CM2C,1706538267.036328
23,States.TrialCompleted,1706538267.036328
23,States.CenterReward,1706538267.036328
23,States.TrialStarted,1706538267.036328
23,States.M1CM2C,1706538267.036328
24,States.TrialCompleted,1706538267.036328
24,States.CenterReward,1706538267.036328
24,States.TrialStarted,1706538267.036328
24,States.M1CM2C,1706538267.036328
25,States.TrialCompleted,1706538267.036328
25,States.CenterReward,1706538267.036328
25,States.TrialStarted,1706538267.036328
25,States.M1CM2C,1706538267.0418563
26,States.TrialCompleted,1706538267.0418563
26,States.CenterReward,1706538267.0418563
26,States.TrialStarted,1706538267.0418563
26,States.M1CM2C,1706538267.0418563
27,States.TrialCompleted,1706538267.0418563
27,States.CenterReward,1706538267.0418563
27,States.TrialStarted,1706538267.0418563
27,States.M1CM2C,1706538267.0418563
28,States.TrialCompleted,1706538267.0418563
28,States.CenterReward,1706538267.0418563
28,States.TrialStarted,1706538267.0418563
28,States.M1CM2C,1706538267.0418563
29,States.TrialCompleted,1706538267.0418563
29,States.CenterReward,1706538267.0418563
29,States.TrialStarted,1706538267.0418563
29,States.M1CM2C,1706538267.0418563
30,States.TrialCompleted,1706538267.0468562
30,States.CenterReward,1706538267.0468562
30,States.TrialStarted,1706538267.0468562
30,States.M1CM2C,1706538267.0468562
31,States.TrialCompleted,1706538267.0468562
31,States.CenterReward,1706538267.0468562
31,States.TrialStarted,1706538267.0468562
31,States.M1CM2C,1706538267.0468562
32,States.TrialCompleted,1706538267.0468562
32,States.CenterReward,1706538267.0468562
32,States.TrialStarted,1706538267.0468562
32,States.M1CM2C,1706538267.0468562
33,States.TrialCompleted,1706538267.0468562
33,States.CenterReward,1706538267.0468562
33,States.TrialStarted,1706538267.051856
33,States.M1CM2C,1706538267.051856
34,States.TrialCompleted,1706538267.051856
34,States.CenterReward,1706538267.051856
34,States.TrialStarted,1706538267.051856
34,States.M1CM2C,1706538267.051856
35,States.TrialCompleted,1706538267.051856
35,States.CenterReward,1706538267.051856
35,States.TrialStarted,1706538267.051856
35,States.M1CM2C,1706538267.051856
36,States.TrialCompleted,1706538267.051856
36,States.CenterReward,1706538267.051856
36,States.TrialStarted,1706538267.051856
36,States.M1CM2C,1706538267.051856
37,States.TrialCompleted,1706538267.051856
37,States.CenterReward,1706538267.051856
37,States.TrialStarted,1706538267.0568569
37,States.M1CM2C,1706538267.0568569
38,States.TrialCompleted,1706538267.0568569
38,States.CenterReward,1706538267.0568569
38,States.TrialStarted,1706538267.0568569
38,States.M1CM2C,1706538267.0568569
39,States.TrialCompleted,1706538267.0568569
39,States.CenterReward,1706538267.0568569
39,States.TrialStarted,1706538267.0568569
39,States.M1CM2C,1706538267.0568569
40,States.TrialCompleted,1706538267.0568569
40,States.CenterReward,1706538267.0568569
40,States.TrialStarted,1706538267.0568569
40,States.M1CM2C,1706538267.0568569
41,States.TrialCompleted,1706538267.0568569
41,States.CenterReward,1706538267.0568569
41,States.TrialStarted,1706538267.0568569
41,States.M1CM2C,1706538267.0618567
42,States.TrialCompleted,1706538267.0618567
42,States.CenterReward,1706538267.0618567
42,States.TrialStarted,1706538267.0618567
42,States.M1CM2C,1706538267.0618567
43,States.TrialCompleted,1706538267.0618567
43,States.CenterReward,1706538267.0618567
43,States.TrialStarted,1706538267.0618567
43,States.M1CM2C,1706538267.0618567
44,States.TrialCompleted,1706538267.0618567
44,States.CenterReward,1706538267.0618567
44,States.TrialStarted,1706538267.0618567
44,States.M1CM2C,1706538267.0618567
45,States.TrialCompleted,1706538267.0618567
45,States.CenterReward,1706538267.0618567
45,States.TrialStarted,1706538267.0618567
45,States.M1CM2C,1706538267.0618567
46,States.TrialCompleted,1706538267.0618567
46,States.CenterReward,1706538267.066857
46,States.TrialStarted,1706538267.066857
46,States.M1CM2C,1706538267.066857
47,States.TrialCompleted,1706538267.066857
47,States.CenterReward,1706538267.066857
47,States.TrialStarted,1706538267.066857
47,States.M1CM2C,1706538267.066857
48,States.TrialCompleted,1706538267.066857
48,States.CenterReward,1706538267.066857
48,States.TrialStarted,1706538267.066857
48,States.M1CM2C,1706538267.066857
49,States.TrialCompleted,1706538267.066857
49,States.CenterReward,1706538267.066857
49,States.TrialStarted,1706538267.066857
49,States.M1CM2C,1706538267.066857
50,States.TrialCompleted,1706538267.066857
50,States.CenterReward,1706538267.0718567
50,States.TrialStarted,1706538267.0718567
50,States.M1CM2C,1706538267.0718567
51,States.TrialCompleted,1706538267.0718567
51,States.CenterReward,1706538267.0718567
51,States.TrialStarted,1706538267.0718567
51,States.M1CM2C,1706538267.0718567
52,States.TrialCompleted,1706538267.0718567
52,States.CenterReward,1706538267.0718567
52,States.TrialStarted,1706538267.0718567
52,States.M1CM2C,1706538267.0718567
53,States.TrialCompleted,1706538267.0718567
53,States.CenterReward,1706538267.0718567
53,States.TrialStarted,1706538267.0718567
53,States.M1CM2C,1706538267.0718567
54,States.TrialCompleted,1706538267.0718567
54,States.CenterReward,1706538267.0718567
54,States.TrialStarted,1706538267.0768566
54,States.M1CM2C,1706538267.0768566
55,States.TrialCompleted,1706538267.0768566
55,States.CenterReward,1706538267.0768566
55,States.TrialStarted,1706538267.0768566
55,States.M1CM2C,1706538267.0768566
56,States.TrialCompleted,1706538267.0768566
56,States.CenterReward,1706538267.0768566
