Trial Number,Event,Time
0,States.CenterReward,1706538302.563454
0,States.TrialStarted,1706538302.563454
0,States.M1CM2D,1706538302.568454
1,States.TrialCompleted,1706538302.568454
1,States.CenterReward,1706538302.568454
1,States.TrialStarted,1706538302.568454
1,States.M1CM2D,1706538302.568454
2,States.TrialCompleted,1706538302.568454
2,States.CenterReward,1706538302.568454
2,States.TrialStarted,1706538302.568454
2,States.M1CM2D,1706538302.568454
3,States.TrialCompleted,1706538302.568454
3,States.CenterReward,1706538302.568454
3,States.TrialStarted,1706538302.568454
3,States.M1CM2D,1706538302.568454
4,States.TrialCompleted,1706538302.573454
4,States.CenterReward,1706538302.573454
4,States.TrialStarted,1706538302.573454
4,States.M1CM2D,1706538302.573454
5,States.TrialCompleted,1706538302.573454
5,States.CenterReward,1706538302.573454
5,States.TrialStarted,1706538302.573454
5,States.M1CM2D,1706538302.573454
6,States.TrialCompleted,1706538302.573454
6,States.CenterReward,1706538302.573454
6,States.TrialStarted,1706538302.573454
6,States.M1CM2D,1706538302.573454
7,States.TrialCompleted,1706538302.573454
7,States.CenterReward,1706538302.573454
7,States.TrialStarted,1706538302.5784535
7,States.M1CM2D,1706538302.5784535
8,States.TrialCompleted,1706538302.5784535
8,States.CenterReward,1706538302.5784535
8,States.TrialStarted,1706538302.5784535
8,States.M1CM2D,1706538302.5784535
9,States.TrialCompleted,1706538302.5784535
9,States.CenterReward,1706538302.5784535
9,States.TrialStarted,1706538302.5784535
9,States.M1CM2D,1706538302.5784535
10,States.TrialCompleted,1706538302.5784535
10,States.CenterReward,1706538302.5784535
10,States.TrialStarted,1706538302.5784535
10,States.M1CM2D,1706538302.5784535
11,States.TrialCompleted,1706538302.5784535
11,States.CenterReward,1706538302.583454
11,States.TrialStarted,1706538302.583454
11,States.M1CM2D,1706538302.583454
12,States.TrialCompleted,1706538302.583454
12,States.CenterReward,1706538302.583454
12,States.TrialStarted,1706538302.583454
12,States.M1CM2D,1706538302.583454
13,States.TrialCompleted,1706538302.583454
13,States.CenterReward,1706538302.583454
13,States.TrialStarted,1706538302.583454
13,States.M1CM2D,1706538302.583454
14,States.TrialCompleted,1706538302.583454
14,States.CenterReward,1706538302.583454
14,States.TrialStarted,1706538302.583454
14,States.M1CM2D,1706538302.583454
15,States.TrialCompleted,1706538302.583454
15,States.CenterReward,1706538302.583454
15,States.TrialStarted,1706538302.5884533
15,States.M1CM2D,1706538302.5884533
16,States.TrialCompleted,1706538302.5884533
16,States.CenterReward,1706538302.5884533
16,States.TrialStarted,1706538302.5884533
16,States.M1CM2D,1706538302.5884533
17,States.TrialCompleted,1706538302.5884533
17,States.CenterReward,1706538302.5884533
17,States.TrialStarted,1706538302.5884533
17,States.M1CM2D,1706538302.5884533
18,States.TrialCompleted,1706538302.5884533
18,States.CenterReward,1706538302.5884533
18,States.TrialStarted,1706538302.5884533
18,States.M1CM2D,1706538302.5884533
19,States.TrialCompleted,1706538302.5884533
19,States.CenterReward,1706538302.5934546
19,States.TrialStarted,1706538302.5934546
19,States.M1CM2D,1706538302.5934546
20,States.TrialCompleted,1706538302.5934546
20,States.CenterReward,1706538302.5934546
20,States.TrialStarted,1706538302.5934546
20,States.M1CM2D,1706538302.5934546
21,States.TrialCompleted,1706538302.5934546
21,States.CenterReward,1706538302.5934546
21,States.TrialStarted,1706538302.5934546
21,States.M1CM2D,1706538302.5934546
22,States.TrialCompleted,1706538302.5934546
22,States.CenterReward,1706538302.5934546
22,States.TrialStarted,1706538302.5934546
22,States.M1CM2D,1706538302.5934546
23,States.TrialCompleted,1706538302.5934546
23,States.CenterReward,1706538302.598454
23,States.TrialStarted,1706538302.598454
23,States.M1CM2D,1706538302.598454
24,States.TrialCompleted,1706538302.598454
24,States.CenterReward,1706538302.598454
24,States.TrialStarted,1706538302.598454
24,States.M1CM2D,1706538302.598454
25,States.TrialCompleted,1706538302.598454
25,States.CenterReward,1706538302.598454
25,States.TrialStarted,1706538302.598454
25,States.M1CM2D,1706538302.598454
26,States.TrialCompleted,1706538302.598454
26,States.CenterReward,1706538302.598454
26,States.TrialStarted,1706538302.598454
26,States.M1CM2D,1706538302.598454
27,States.TrialCompleted,1706538302.598454
27,States.CenterReward,1706538302.598454
27,States.TrialStarted,1706538302.6034553
27,States.M1CM2D,1706538302.6034553
28,States.TrialCompleted,1706538302.6034553
28,States.CenterReward,1706538302.6034553
28,States.TrialStarted,1706538302.6034553
28,States.M1CM2D,1706538302.6034553
29,States.TrialCompleted,1706538302.6034553
29,States.CenterReward,1706538302.6034553
29,States.TrialStarted,1706538302.6034553
29,States.M1CM2D,1706538302.6034553
30,States.TrialCompleted,1706538302.6034553
30,States.CenterReward,1706538302.6034553
30,States.TrialStarted,1706538302.6034553
30,States.M1CM2D,1706538302.6034553
31,States.TrialCompleted,1706538302.6034553
31,States.CenterReward,1706538302.6034553
31,States.TrialStarted,1706538302.6034553
31,States.M1CM2D,1706538302.6084545
32,States.TrialCompleted,1706538302.6084545
32,States.CenterReward,1706538302.6084545
32,States.TrialStarted,1706538302.6084545
32,States.M1CM2D,1706538302.6084545
33,States.TrialCompleted,1706538302.6084545
33,States.CenterReward,1706538302.6084545
33,States.TrialStarted,1706538302.6084545
33,States.M1CM2D,1706538302.6084545
34,States.TrialCompleted,1706538302.6084545
34,States.CenterReward,1706538302.6084545
34,States.TrialStarted,1706538302.6084545
34,States.M1CM2D,1706538302.6084545
35,States.TrialCompleted,1706538302.6084545
35,States.CenterReward,1706538302.6084545
35,States.TrialStarted,1706538302.6084545
35,States.M1CM2D,1706538302.6134558
36,States.TrialCompleted,1706538302.6134558
36,States.CenterReward,1706538302.6134558
36,States.TrialStarted,1706538302.6134558
36,States.M1CM2D,1706538302.6134558
37,States.TrialCompleted,1706538302.6134558
37,States.CenterReward,1706538302.6134558
37,States.TrialStarted,1706538302.6134558
37,States.M1CM2D,1706538302.6134558
38,States.TrialCompleted,1706538302.6134558
38,States.CenterReward,1706538302.6134558
38,States.TrialStarted,1706538302.6134558
38,States.M1CM2D,1706538302.6134558
39,States.TrialCompleted,1706538302.6134558
39,States.CenterReward,1706538302.6134558
39,States.TrialStarted,1706538302.6134558
