Trial Number,Event,Time
0,States.CenterReward,1706538449.1172686
0,States.TrialStarted,1706538449.1172686
0,States.M1DM2C,1706538449.1172686
1,States.TrialCompleted,1706538449.1172686
1,States.CenterReward,1706538449.1207817
1,States.TrialStarted,1706538449.1207817
1,States.M1DM2D,1706538449.1207817
2,States.TrialCompleted,1706538449.1207817
2,States.CenterReward,1706538449.1207817
2,States.TrialStarted,1706538449.1207817
2,States.M1DM2D,1706538449.1207817
3,States.TrialCompleted,1706538449.1207817
3,States.CenterReward,1706538449.1207817
3,States.TrialStarted,1706538449.1207817
3,States.M1DM2D,1706538449.126247
4,States.TrialCompleted,1706538449.126247
4,States.CenterReward,1706538449.1272633
4,States.TrialStarted,1706538449.1272633
4,States.M1DM2D,1706538449.1272633
5,States.TrialCompleted,1706538449.1272633
5,States.CenterReward,1706538449.1272633
5,States.TrialStarted,1706538449.1272633
5,States.M1DM2D,1706538449.1272633
6,States.TrialCompleted,1706538449.1272633
6,States.CenterReward,1706538449.1272633
6,States.TrialStarted,1706538449.1272633
6,States.M1DM2D,1706538449.1272633
7,States.TrialCompleted,1706538449.1307745
7,States.CenterReward,1706538449.1307745
7,States.TrialStarted,1706538449.1307745
7,States.M1DM2D,1706538449.1307745
8,States.TrialCompleted,1706538449.1307745
8,States.CenterReward,1706538449.1307745
8,States.TrialStarted,1706538449.1307745
8,States.M1DM2D,1706538449.1307745
9,States.TrialCompleted,1706538449.1307745
9,States.CenterReward,1706538449.1307745
9,States.TrialStarted,1706538449.1307745
9,States.M1DM2D,1706538449.1307745
10,States.TrialCompleted,1706538449.1307745
10,States.CenterReward,1706538449.135293
10,States.TrialStarted,1706538449.135293
10,States.M1DM2D,1706538449.135293
11,States.TrialCompleted,1706538449.135293
11,States.CenterReward,1706538449.135293
11,States.TrialStarted,1706538449.135293
11,States.M1DM2D,1706538449.135293
12,States.TrialCompleted,1706538449.1373012
12,States.CenterReward,1706538449.1373012
12,States.TrialStarted,1706538449.1373012
12,States.M1DM2D,1706538449.1373012
13,States.TrialCompleted,1706538449.1373012
13,States.CenterReward,1706538449.1373012
13,States.TrialStarted,1706538449.1373012
13,States.M1DM2D,1706538449.1373012
14,States.TrialCompleted,1706538449.1373012
14,States.CenterReward,1706538449.1373012
14,States.TrialStarted,1706538449.1373012
14,States.M1DM2D,1706538449.1373012
15,States.TrialCompleted,1706538449.1408627
15,States.CenterReward,1706538449.1408627
15,States.TrialStarted,1706538449.1408627
15,States.M1DM2D,1706538449.1408627
16,States.TrialCompleted,1706538449.1408627
16,States.CenterReward,1706538449.1408627
16,States.TrialStarted,1706538449.1408627
16,States.M1DM2D,1706538449.1408627
17,States.TrialCompleted,1706538449.1408627
17,States.CenterReward,1706538449.1408627
17,States.TrialStarted,1706538449.1408627
17,States.M1DM2D,1706538449.1408627
18,States.TrialCompleted,1706538449.1408627
18,States.CenterReward,1706538449.1408627
18,States.TrialStarted,1706538449.1408627
18,States.M1DM2D,1706538449.145377
19,States.TrialCompleted,1706538449.145377
19,States.CenterReward,1706538449.145377
19,States.TrialStarted,1706538449.145377
19,States.M1DM2D,1706538449.145377
20,States.TrialCompleted,1706538449.145377
20,States.CenterReward,1706538449.145377
20,States.TrialStarted,1706538449.145377
20,States.M1DM2D,1706538449.145377
21,States.TrialCompleted,1706538449.145377
21,States.CenterReward,1706538449.145377
21,States.TrialStarted,1706538449.145377
21,States.M1DM2D,1706538449.145377
22,States.TrialCompleted,1706538449.145377
22,States.CenterReward,1706538449.145377
22,States.TrialStarted,1706538449.145377
22,States.M1DM2D,1706538449.145377
23,States.TrialCompleted,1706538449.1503704
23,States.CenterReward,1706538449.1503704
23,States.TrialStarted,1706538449.1503704
23,States.M1DM2D,1706538449.1503704
24,States.TrialCompleted,1706538449.1503704
24,States.CenterReward,1706538449.1503704
24,States.TrialStarted,1706538449.1503704
24,States.M1DM2D,1706538449.1503704
25,States.TrialCompleted,1706538449.1503704
25,States.CenterReward,1706538449.1503704
25,States.TrialStarted,1706538449.1535406
25,States.M1DM2D,1706538449.1535406
26,States.TrialCompleted,1706538449.1535406
26,States.CenterReward,1706538449.1535406
26,States.TrialStarted,1706538449.1535406
26,States.M1DM2D,1706538449.1535406
27,States.TrialCompleted,1706538449.1556132
27,States.CenterReward,1706538449.1556132
27,States.TrialStarted,1706538449.1556132
27,States.M1DM2D,1706538449.1556132
28,States.TrialCompleted,1706538449.1556132
28,States.CenterReward,1706538449.1556132
28,States.TrialStarted,1706538449.1556132
28,States.M1DM2D,1706538449.1556132
29,States.TrialCompleted,1706538449.1556132
29,States.CenterReward,1706538449.1556132
29,States.TrialStarted,1706538449.1556132
29,States.M1DM2D,1706538449.1556132
30,States.TrialCompleted,1706538449.1556132
30,States.CenterReward,1706538449.1556132
30,States.TrialStarted,1706538449.1556132
30,States.M1DM2D,1706538449.160547
31,States.TrialCompleted,1706538449.160547
31,States.CenterReward,1706538449.160547
31,States.TrialStarted,1706538449.160547
31,States.M1DM2D,1706538449.160547
32,States.TrialCompleted,1706538449.160547
32,States.CenterReward,1706538449.160547
32,States.TrialStarted,1706538449.160547
32,States.M1DM2D,1706538449.160547
33,States.TrialCompleted,1706538449.160547
33,States.CenterReward,1706538449.1635141
33,States.TrialStarted,1706538449.1635141
33,States.M1DM2D,1706538449.1635141
34,States.TrialCompleted,1706538449.1635141
34,States.CenterReward,1706538449.1635141
34,States.TrialStarted,1706538449.1635141
34,States.M1DM2D,1706538449.1635141
35,States.TrialCompleted,1706538449.1655478
35,States.CenterReward,1706538449.1655478
35,States.TrialStarted,1706538449.1655478
35,States.M1DM2D,1706538449.1655478
36,States.TrialCompleted,1706538449.1655478
36,States.CenterReward,1706538449.1655478
36,States.TrialStarted,1706538449.1655478
36,States.M1DM2D,1706538449.1655478
37,States.TrialCompleted,1706538449.1655478
37,States.CenterReward,1706538449.1655478
37,States.TrialStarted,1706538449.1655478
37,States.M1DM2D,1706538449.1655478
38,States.TrialCompleted,1706538449.1655478
38,States.CenterReward,1706538449.1655478
38,States.TrialStarted,1706538449.1655478
38,States.M1DM2D,1706538449.1655478
39,States.TrialCompleted,1706538449.1655478
39,States.CenterReward,1706538449.1705198
39,States.TrialStarted,1706538449.1705198
39,States.M1DM2D,1706538449.1705198
40,States.TrialCompleted,1706538449.1705198
40,States.CenterReward,1706538449.1705198
40,States.TrialStarted,1706538449.1705198
40,States.M1DM2D,1706538449.1705198
41,States.TrialCompleted,1706538449.1705198
41,States.CenterReward,1706538449.1705198
41,States.TrialStarted,1706538449.1733317
41,States.M1DM2D,1706538449.1733317
42,States.TrialCompleted,1706538449.1733317
42,States.CenterReward,1706538449.1733317
42,States.TrialStarted,1706538449.1733317
42,States.M1DM2D,1706538449.1733317
43,States.TrialCompleted,1706538449.1753442
43,States.CenterReward,1706538449.1753442
43,States.TrialStarted,1706538449.1753442
43,States.M1DM2D,1706538449.1753442
44,States.TrialCompleted,1706538449.1753442
44,States.CenterReward,1706538449.1753442
44,States.TrialStarted,1706538449.1753442
44,States.M1DM2D,1706538449.1753442
45,States.TrialCompleted,1706538449.1753442
45,States.CenterReward,1706538449.1753442
45,States.TrialStarted,1706538449.1753442
45,States.M1DM2D,1706538449.1753442
46,States.TrialCompleted,1706538449.1753442
46,States.CenterReward,1706538449.1753442
46,States.TrialStarted,1706538449.1753442
46,States.M1DM2D,1706538449.1753442
47,States.TrialCompleted,1706538449.1753442
47,States.CenterReward,1706538449.180338
47,States.TrialStarted,1706538449.180338
47,States.M1DM2D,1706538449.180338
48,States.TrialCompleted,1706538449.180338
48,States.CenterReward,1706538449.180338
48,States.TrialStarted,1706538449.180338
48,States.M1DM2D,1706538449.180338
49,States.TrialCompleted,1706538449.180338
49,States.CenterReward,1706538449.1835258
49,States.TrialStarted,1706538449.1835258
49,States.M1DM2D,1706538449.1835258
50,States.TrialCompleted,1706538449.1835258
